City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
256,Imbituba,-28.24,-48.6703,76.89,clear sky,74,0,15.79,BR
257,Hibbing,47.4272,-92.9377,71.1,clear sky,37,0,2.95,US
258,Lago Da Pedra,-4.3333,-45.1667,93.06,scattered clouds,38,45,1.41,BR
259,Henties Bay,-22.116,14.2845,57.85,scattered clouds,94,45,10.49,NA
260,Pereira,4.8133,-75.6961,81.36,scattered clouds,54,40,4.61,CO
261,Porto Seguro,-16.4497,-39.0647,79.32,broken clouds,78,75,12.66,BR
262,Vagur,61.4732,-6.8119,47.52,overcast clouds,84,100,8.03,FO
263,Doha,25.2867,51.5333,89.58,clear sky,53,0,5.75,QA
264,Harper,4.375,-7.7169,76.03,light rain,90,100,7.72,LR
265,Victoria,22.2855,114.1577,85.32,light rain,80,2,1.01,HK
266,Redlands,34.0556,-117.1825,94.93,clear sky,66,6,4.99,US
267,Sitka,57.0531,-135.33,48.31,moderate rain,91,100,3.38,US
268,Aklavik,68.2191,-135.0107,31.03,few clouds,80,20,0.0,CA
269,Lingao,19.9103,109.6859,78.04,light rain,89,2,5.28,CN
270,Guapiles,10.2159,-83.7866,86.58,overcast clouds,98,100,2.84,CR
271,Itarema,-2.9248,-39.9167,84.16,overcast clouds,66,88,19.86,BR
272,Poum,-20.2333,164.0167,70.93,broken clouds,72,66,11.27,NC
273,Sompeta,18.9333,84.6,79.56,overcast clouds,87,100,2.28,IN
274,Sabha,27.0377,14.4283,79.3,clear sky,21,0,8.25,LY
275,Atambua,-9.1061,124.8925,70.81,broken clouds,85,54,4.27,ID
276,Korla,41.7597,86.1469,66.29,clear sky,26,0,2.06,CN
277,Bilibino,68.0546,166.4372,16.45,light snow,96,100,6.29,RU
278,Ranong,9.9658,98.6348,76.98,overcast clouds,90,100,2.89,TH
279,Rochegda,62.8,43.25,44.37,overcast clouds,89,100,2.48,RU
280,Santa Isabel,-23.3156,-46.2214,87.51,clear sky,33,0,13.6,BR
281,Kota Bahru,6.1333,102.2386,78.75,few clouds,94,20,3.0,MY
282,Mareeba,-17.0,145.4333,67.44,broken clouds,94,52,2.42,AU
283,Oksfjord,70.2396,22.3479,59.92,overcast clouds,84,91,10.67,NO
284,Upington,-28.4478,21.2561,77.38,clear sky,23,0,6.91,ZA
285,Kudahuvadhoo,2.6708,72.8944,81.77,overcast clouds,77,100,17.25,MV
286,Araouane,18.9048,-3.5265,96.75,clear sky,10,0,9.57,ML
287,Santa Cruz,-17.8,-63.1667,95.05,smoke,41,40,20.71,BO
288,Katobu,-4.9408,122.5276,73.81,overcast clouds,94,97,3.27,ID
289,Pacifica,37.6138,-122.4869,75.42,mist,91,90,7.0,US
290,Tezu,27.9167,96.1667,72.79,overcast clouds,97,100,4.88,IN
291,Richards Bay,-28.783,32.0377,78.62,overcast clouds,44,92,18.41,ZA
292,Vila Velha,-20.3297,-40.2925,80.96,few clouds,72,20,18.41,BR
293,Fougamou,-1.2154,10.5838,73.78,moderate rain,97,100,2.17,GA
294,Hobyo,5.3505,48.5268,78.44,broken clouds,82,64,25.17,SO
295,Prieska,-29.6641,22.7474,68.29,clear sky,36,5,20.67,ZA
296,Agapovka,53.2973,59.1348,33.01,light snow,97,100,18.39,RU
297,Tigil,57.8,158.6667,35.26,overcast clouds,92,87,3.2,RU
298,Katherine,-14.4667,132.2667,79.12,scattered clouds,73,26,8.05,AU
299,Oschersleben,52.0333,11.25,65.93,overcast clouds,83,100,8.08,DE
300,Balakhta,55.38,91.6,30.88,scattered clouds,96,42,3.94,RU
301,Swan Hill,-35.3378,143.5544,48.33,light rain,87,100,8.14,AU
302,Avera,33.194,-82.5271,83.44,clear sky,39,0,3.47,US
303,Coihaique,-45.5752,-72.0662,50.61,broken clouds,50,75,6.91,CL
304,Karratha,-20.7377,116.8463,70.77,overcast clouds,31,93,12.33,AU
305,Lanzhou,36.0564,103.7922,52.88,scattered clouds,54,50,3.38,CN
306,Archidona,37.0965,-4.3887,76.39,broken clouds,36,58,0.87,ES
307,Alekseyevka,50.6309,38.6903,47.23,few clouds,88,16,7.74,RU
308,Rosdorf,51.5,9.9,66.09,overcast clouds,77,100,8.23,DE
309,Mawlaik,23.6333,94.4167,74.62,light rain,91,40,1.28,MM
310,Kattivakkam,13.2167,80.3167,84.29,overcast clouds,66,100,8.77,IN
311,Fort Myers Beach,26.452,-81.9481,91.06,clear sky,56,4,4.0,US
312,Namtsy,62.7161,129.6658,35.71,broken clouds,83,76,6.85,RU
313,Areia Branca,-4.9561,-37.1369,95.2,scattered clouds,69,48,18.1,BR
314,Ngunguru,-35.6167,174.5,43.16,few clouds,80,13,7.96,NZ
315,Acapulco,16.8634,-99.8901,85.44,overcast clouds,65,93,6.2,MX
316,Olafsvik,64.8945,-23.7142,36.41,overcast clouds,76,100,35.99,IS
317,Champerico,14.3,-91.9167,91.94,broken clouds,70,74,6.98,GT
318,Carutapera,-1.195,-46.02,84.7,broken clouds,63,51,9.57,BR
319,Charlottetown,46.2352,-63.1267,64.62,broken clouds,58,75,11.99,CA
320,Chake Chake,-5.2459,39.7666,73.67,clear sky,82,5,7.9,TZ
321,Barcelos,41.5388,-8.6151,68.29,overcast clouds,87,98,5.41,PT
322,Port Lincoln,-34.7333,135.8667,58.19,light rain,70,81,2.17,AU
323,Caruray,10.3094,119.0128,80.91,broken clouds,84,58,3.2,PH
324,Bethel,41.3712,-73.414,78.49,scattered clouds,57,27,1.01,US
325,Arinos,-15.9169,-46.1056,96.31,scattered clouds,19,43,8.14,BR
326,Manono,-7.3,27.4167,78.08,light rain,59,80,2.39,CD
327,Huarmey,-10.0681,-78.1522,69.08,few clouds,71,19,10.38,PE
328,Uvat,59.1433,68.8953,31.23,clear sky,92,7,5.79,RU
329,Belaya Gora,68.5333,146.4167,25.97,overcast clouds,89,100,15.61,RU
330,Sylvan Lake,52.3168,-114.0853,72.97,clear sky,33,1,9.22,CA
331,Werda,-25.2667,23.2833,78.37,broken clouds,17,72,8.41,BW
332,Vaitape,-16.5167,-151.75,79.05,light rain,77,3,19.06,PF
333,Upernavik,72.7868,-56.1549,26.56,few clouds,55,24,2.42,GL
334,Huilong,31.8111,121.655,77.94,light rain,90,0,6.82,CN
335,Lavrentiya,65.5833,-171.0,25.84,few clouds,84,24,4.16,RU
336,Malakal,9.5334,31.6605,77.05,few clouds,73,24,1.32,SS
337,Haines Junction,60.7522,-137.5108,31.95,light snow,86,100,8.05,CA
338,Oussouye,12.485,-16.5469,93.38,moderate rain,80,18,3.91,SN
339,Pokrovskoye,47.4157,38.8971,57.81,overcast clouds,58,100,5.46,RU
340,Ancud,-41.8697,-73.8203,56.73,broken clouds,69,55,6.85,CL
341,North Bend,43.4065,-124.2243,59.94,mist,97,90,6.91,US
342,Cockburn Town,21.4612,-71.1419,87.76,scattered clouds,58,40,5.75,TC
343,Clyde River,70.4692,-68.5914,32.23,scattered clouds,80,40,11.5,CA
344,Velasco Ibarra,-1.05,-79.6167,89.01,broken clouds,46,57,5.66,EC
345,Kermanshah,34.3142,47.065,72.5,clear sky,11,0,9.22,IR
